,shop_id,plu,start_of_interval_abscence,end_of_interval_abscence,interval_length
13549,6,357601,2020-01-17 09:00:18,2020-01-17 10:00:26,0 days 01:00:08
14491,6,705566,2020-01-28 23:00:42,2020-01-29 00:00:19,0 days 00:59:37
14492,6,705566,2020-01-29 00:00:19,2020-01-29 01:00:08,0 days 00:59:49
14493,6,705566,2020-01-29 01:00:08,2020-01-29 02:00:36,0 days 01:00:28
14494,6,705566,2020-01-29 02:00:36,2020-01-29 04:00:29,0 days 01:59:53
14495,6,705566,2020-01-29 04:00:29,2020-01-29 05:00:54,0 days 01:00:25
14496,6,705566,2020-01-29 05:00:54,2020-01-29 06:00:35,0 days 00:59:41
14497,6,705566,2020-01-29 06:00:35,2020-01-29 07:00:48,0 days 01:00:13
14498,6,705566,2020-01-29 07:00:48,2020-01-29 08:00:31,0 days 00:59:43
14499,6,705566,2020-01-29 08:00:31,2020-01-29 09:00:23,0 days 00:59:52
14500,6,705566,2020-01-29 09:00:23,2020-01-29 10:00:36,0 days 01:00:13
14501,6,705566,2020-01-29 10:00:36,2020-01-29 11:00:34,0 days 00:59:58
14502,6,705566,2020-01-29 11:00:34,2020-01-29 12:01:04,0 days 01:00:30
14503,6,705566,2020-01-29 12:01:04,2020-01-29 13:00:10,0 days 00:59:06
14504,6,705566,2020-01-29 13:00:10,2020-01-29 14:00:34,0 days 01:00:24
14505,6,705566,2020-01-29 14:00:34,2020-01-29 15:00:45,0 days 01:00:11
14506,6,705566,2020-01-29 15:00:45,2020-01-29 16:01:09,0 days 01:00:24
14507,6,705566,2020-01-29 16:01:09,2020-01-29 17:00:27,0 days 00:59:18
14508,6,705566,2020-01-29 17:00:27,2020-01-29 18:00:40,0 days 01:00:13
14509,6,705566,2020-01-29 18:00:40,2020-01-29 19:00:52,0 days 01:00:12
14510,6,705566,2020-01-29 19:00:52,2020-01-29 20:00:56,0 days 01:00:04
14511,6,705566,2020-01-29 20:00:56,2020-01-29 21:00:59,0 days 01:00:03
14512,6,705566,2020-01-29 21:00:59,2020-01-29 22:00:27,0 days 00:59:28
14513,6,705566,2020-01-29 22:00:27,2020-01-29 23:00:44,0 days 01:00:17
14514,6,705566,2020-01-29 23:00:44,2020-01-30 00:00:23,0 days 00:59:39
14515,6,705566,2020-01-30 00:00:23,2020-01-30 01:00:15,0 days 00:59:52
14516,6,705566,2020-01-30 01:00:15,2020-01-30 02:00:32,0 days 01:00:17
14517,6,705566,2020-01-30 02:00:32,2020-01-30 04:00:11,0 days 01:59:39
14518,6,705566,2020-01-30 04:00:11,2020-01-30 05:00:11,0 days 01:00:00
14519,6,705566,2020-01-30 05:00:11,2020-01-30 06:00:40,0 days 01:00:29
14520,6,705566,2020-01-30 06:00:40,2020-01-30 07:00:39,0 days 00:59:59
14521,6,705566,2020-01-30 07:00:39,2020-01-30 08:00:25,0 days 00:59:46
14522,6,705566,2020-01-30 08:00:25,2020-01-30 09:00:59,0 days 01:00:34
14523,6,705566,2020-01-30 09:00:59,2020-01-30 10:00:56,0 days 00:59:57
14524,6,705566,2020-01-30 10:00:56,2020-01-30 11:01:06,0 days 01:00:10
14525,6,705566,2020-01-30 11:01:06,2020-01-30 12:00:27,0 days 00:59:21
14526,6,705566,2020-01-30 12:00:27,2020-01-30 13:00:44,0 days 01:00:17
14527,6,705566,2020-01-30 13:00:44,2020-01-30 14:01:00,0 days 01:00:16
14528,6,705566,2020-01-30 14:01:00,2020-01-30 15:00:54,0 days 00:59:54
14529,6,705566,2020-01-30 15:00:54,2020-01-30 16:00:16,0 days 00:59:22
14530,6,705566,2020-01-30 16:00:16,2020-01-30 17:00:18,0 days 01:00:02
14531,6,705566,2020-01-30 17:00:18,2020-01-30 18:00:42,0 days 01:00:24
14532,6,705566,2020-01-30 18:00:42,2020-01-30 19:00:52,0 days 01:00:10
14533,6,705566,2020-01-30 19:00:52,2020-01-30 20:00:54,0 days 01:00:02
14534,6,705566,2020-01-30 20:00:54,2020-01-30 21:00:12,0 days 00:59:18
14535,6,705566,2020-01-30 21:00:12,2020-01-30 22:00:54,0 days 01:00:42
14536,6,705566,2020-01-30 22:00:54,2020-01-30 23:00:37,0 days 00:59:43
14537,6,705566,2020-01-30 23:00:37,2020-01-31 00:00:24,0 days 00:59:47
14538,6,705566,2020-01-31 00:00:24,2020-01-31 01:00:15,0 days 00:59:51
14539,6,705566,2020-01-31 01:00:15,2020-01-31 02:01:02,0 days 01:00:47
14540,6,705566,2020-01-31 02:01:02,2020-01-31 04:00:41,0 days 01:59:39
14541,6,705566,2020-01-31 04:00:41,2020-01-31 05:00:09,0 days 00:59:28
14542,6,705566,2020-01-31 05:00:09,2020-01-31 06:00:46,0 days 01:00:37
14543,6,705566,2020-01-31 06:00:46,2020-01-31 07:00:53,0 days 01:00:07
14544,6,705566,2020-01-31 07:00:53,2020-01-31 08:00:21,0 days 00:59:28
14545,6,705566,2020-01-31 08:00:21,2020-01-31 09:00:27,0 days 01:00:06
14546,6,705566,2020-01-31 09:00:27,2020-01-31 10:00:51,0 days 01:00:24
14547,6,705566,2020-01-31 10:00:51,2020-01-31 11:00:45,0 days 00:59:54
14548,6,705566,2020-01-31 11:00:45,2020-01-31 12:00:08,0 days 00:59:23
14549,6,705566,2020-01-31 12:00:08,2020-01-31 13:00:09,0 days 01:00:01
14550,6,705566,2020-01-31 13:00:09,2020-01-31 14:00:27,0 days 01:00:18
14551,6,705566,2020-01-31 14:00:27,2020-01-31 15:00:10,0 days 00:59:43
14552,6,705566,2020-01-31 15:00:10,2020-01-31 16:00:40,0 days 01:00:30
14553,6,705566,2020-01-31 16:00:40,2020-01-31 17:00:27,0 days 00:59:47
14554,6,705566,2020-01-31 17:00:27,2020-01-31 18:00:32,0 days 01:00:05
14555,6,705566,2020-01-31 18:00:32,2020-01-31 19:00:42,0 days 01:00:10
14556,6,705566,2020-01-31 19:00:42,2020-01-31 20:00:45,0 days 01:00:03
14557,6,705566,2020-01-31 20:00:45,2020-01-31 21:00:50,0 days 01:00:05
14558,6,705566,2020-01-31 21:00:50,2020-01-31 22:00:52,0 days 01:00:02
14559,6,705566,2020-01-31 22:00:52,,
30565,10,718714,2020-01-27 12:00:44,2020-01-27 13:00:29,0 days 00:59:45
30566,10,718714,2020-01-27 13:00:29,2020-01-27 14:00:16,0 days 00:59:47
30567,10,718714,2020-01-27 14:00:16,2020-01-27 15:00:11,0 days 00:59:55
30568,10,718714,2020-01-27 15:00:11,2020-01-27 16:00:58,0 days 01:00:47
30569,10,718714,2020-01-27 16:00:58,2020-01-27 17:00:43,0 days 00:59:45
30570,10,718714,2020-01-27 17:00:43,2020-01-27 18:00:29,0 days 00:59:46
30571,10,718714,2020-01-27 18:00:29,2020-01-27 19:00:50,0 days 01:00:21
30572,10,718714,2020-01-27 19:00:50,2020-01-27 20:00:17,0 days 00:59:27
30573,10,718714,2020-01-27 20:00:17,2020-01-27 21:00:59,0 days 01:00:42
30574,10,718714,2020-01-27 21:00:59,2020-01-27 22:00:20,0 days 00:59:21
30575,10,718714,2020-01-27 22:00:20,2020-01-28 00:00:43,0 days 02:00:23
30576,10,718714,2020-01-28 00:00:43,2020-01-28 01:00:13,0 days 00:59:30
